Region,School Year,Grade Level,Students
Region I - Ilocos Region,2010-2011,Grade 2,106298.0
Region II - Cagayan Valley,2010-2011,Grade 2,73674.0
Region III - Central Luzon,2010-2011,Grade 2,221107.0
Region IV-A - CALABARZON,2010-2011,Grade 2,261317.0
Region IV-B - MIMAROPA,2010-2011,Grade 2,82742.0
Region V - Bicol Region,2010-2011,Grade 2,170617.0
Region VI - Western Visayas,2010-2011,Grade 2,177969.0
Region VII - Central Visayas,2010-2011,Grade 2,171819.0
Region VIII - Eastern Visayas,2010-2011,Grade 2,125625.0
Region IX - Zamboanga Peninsula,2010-2011,Grade 2,102402.0
Region X - Northern Mindanao,2010-2011,Grade 2,114164.0
Region XI - Davao Region,2010-2011,Grade 2,117582.0
Region XII - Soccsksargen,2010-2011,Grade 2,111757.0
CARAGA - CARAGA,2010-2011,Grade 2,70766.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2010-2011,Grade 2,152075.0
CAR - Cordillera Administrative Region,2010-2011,Grade 2,38009.0
NCR - National Capital Region,2010-2011,Grade 2,208721.0
Region I - Ilocos Region,2011-2012,Grade 2,107962.0
Region II - Cagayan Valley,2011-2012,Grade 2,73577.0
Region III - Central Luzon,2011-2012,Grade 2,223819.0
Region IV-A - CALABARZON,2011-2012,Grade 2,266791.0
Region IV-B - MIMAROPA,2011-2012,Grade 2,82789.0
Region V - Bicol Region,2011-2012,Grade 2,174297.0
Region VI - Western Visayas,2011-2012,Grade 2,176997.0
Region VII - Central Visayas,2011-2012,Grade 2,175835.0
Region VIII - Eastern Visayas,2011-2012,Grade 2,126109.0
Region IX - Zamboanga Peninsula,2011-2012,Grade 2,105880.0
Region X - Northern Mindanao,2011-2012,Grade 2,118309.0
Region XI - Davao Region,2011-2012,Grade 2,125476.0
Region XII - Soccsksargen,2011-2012,Grade 2,113624.0
CARAGA - CARAGA,2011-2012,Grade 2,71649.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2011-2012,Grade 2,147501.0
CAR - Cordillera Administrative Region,2011-2012,Grade 2,37949.0
NCR - National Capital Region,2011-2012,Grade 2,208814.0
Region I - Ilocos Region,2012-2013,Grade 2,110018.0
Region II - Cagayan Valley,2012-2013,Grade 2,76830.0
Region III - Central Luzon,2012-2013,Grade 2,229087.0
Region IV-A - CALABARZON,2012-2013,Grade 2,284048.0
Region IV-B - MIMAROPA,2012-2013,Grade 2,88172.0
Region V - Bicol Region,2012-2013,Grade 2,182210.0
Region VI - Western Visayas,2012-2013,Grade 2,190940.0
Region VII - Central Visayas,2012-2013,Grade 2,185010.0
Region VIII - Eastern Visayas,2012-2013,Grade 2,128758.0
