Region,School Year,Grade Level,Students
Region VIII - Eastern Visayas,2013-2014,Grade 9,72191.0
Region IX - Zamboanga Peninsula,2013-2014,Grade 9,49576.0
Region X - Northern Mindanao,2013-2014,Grade 9,55802.0
Region XI - Davao Region,2013-2014,Grade 9,59922.0
Region XII - Soccsksargen,2013-2014,Grade 9,56173.0
CARAGA - CARAGA,2013-2014,Grade 9,38706.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2013-2014,Grade 9,38394.0
CAR - Cordillera Administrative Region,2013-2014,Grade 9,21474.0
NCR - National Capital Region,2013-2014,Grade 9,164082.0
Region I - Ilocos Region,2014-2015,Grade 9,76409.0
Region II - Cagayan Valley,2014-2015,Grade 9,46546.0
Region III - Central Luzon,2014-2015,Grade 9,152166.0
Region IV-A - CALABARZON,2014-2015,Grade 9,184603.0
Region IV-B - MIMAROPA,2014-2015,Grade 9,48191.0
Region V - Bicol Region,2014-2015,Grade 9,99224.0
Region VI - Western Visayas,2014-2015,Grade 9,116642.0
